id;name;email_address;review_date;over_all_seller_rating;over_all_seller_review;over_all_delivery_rating;over_all_delivery_review;review_as_anonymous;completed_review;last_edited_by;last_edited_when
1;Sleek Wooden Ball Clothing;"6V+@\A.Lv-";2019-12-16T18:36:13;1328;../fake-data/blob/hipster.txt;95331;../fake-data/blob/hipster.txt;true;true;sensor bypassing;2019-12-16T10:47:17
2;Granite input tan;"r(-@{K;d.5J65S";2019-12-16T11:14:45;53652;../fake-data/blob/hipster.txt;17238;../fake-data/blob/hipster.txt;true;true;Home Loan Account;2019-12-16T23:01:52
3;Web;"%mx>@erpO>$.#h";2019-12-16T20:24:52;25319;../fake-data/blob/hipster.txt;3134;../fake-data/blob/hipster.txt;true;false;Personal Loan Account Optimization turquoise;2019-12-16T09:09:48
4;RAM Malta Mauritius Rupee;"o`@ins.<";2019-12-16T06:15:23;96309;../fake-data/blob/hipster.txt;9923;../fake-data/blob/hipster.txt;true;false;analyzing ADP Wooden;2019-12-16T09:31:27
5;Generic;"ap@Z?&?.&\s/.x";2019-12-16T10:04:55;23369;../fake-data/blob/hipster.txt;9664;../fake-data/blob/hipster.txt;true;false;paradigm;2019-12-16T08:29:18
6;back-end exploit e-markets;"Do@Ibp2Kc.M0[N";2019-12-16T16:32:35;45128;../fake-data/blob/hipster.txt;16086;../fake-data/blob/hipster.txt;false;true;program Awesome;2019-12-16T14:39:24
7;digital;"=0Dadk@tGk{.#Si/\";2019-12-16T14:06:06;39419;../fake-data/blob/hipster.txt;58439;../fake-data/blob/hipster.txt;true;true;web-enabled online;2019-12-16T18:40:38
8;Refined Rubber Shirt Kentucky Optimization;"+E`XH!@!7pW.3";2019-12-16T15:07:42;52776;../fake-data/blob/hipster.txt;33404;../fake-data/blob/hipster.txt;true;false;Robust Security product;2019-12-16T22:45:04
9;Lock;"I@&wU%t.o";2019-12-16T10:15:14;32314;../fake-data/blob/hipster.txt;87730;../fake-data/blob/hipster.txt;true;false;Fantastic hierarchy;2019-12-16T10:40:02
10;function demand-driven Bike;"jRdYi@3.:k9";2019-12-16T21:51:37;7662;../fake-data/blob/hipster.txt;70929;../fake-data/blob/hipster.txt;true;false;supply-chains;2019-12-16T08:11:00
